year,equity,bonds,cash
1928,0.4381,0.0084,0.0308
1929,-0.083,0.042,0.0316
1930,-0.2512,0.0454,0.0455
1931,-0.4384,-0.0256,0.0231
1932,-0.0864,0.0879,0.0107
1933,0.4998,0.0186,0.0096
1934,-0.0119,0.0796,0.0032
1935,0.4674,0.0447,0.0018
1936,0.3194,0.0502,0.0017
1937,-0.3534,0.0138,0.003
1938,0.2928,0.0421,0.0008
1939,-0.011,0.0441,0.0004
1940,-0.1067,0.054,0.0003
1941,-0.1277,-0.0202,0.0008
1942,0.1917,0.0229,0.0034
1943,0.2506,0.0249,0.0038
1944,0.1903,0.0258,0.0038
1945,0.3582,0.038,0.0038
1946,-0.0843,0.0313,0.0038
1947,0.052,0.0092,0.0057
1948,0.057,0.0195,0.0102
1949,0.183,0.0466,0.011
1950,0.3081,0.0043,0.0117
1951,0.2368,-0.003,0.0148
1952,0.1815,0.0227,0.0166
1953,-0.0121,0.0414,0.0182
1954,0.5256,0.0329,0.0086
1955,0.326,-0.0134,0.0157
1956,0.0744,-0.0226,0.0246
1957,-0.1046,0.068,0.0314
1958,0.4372,-0.021,0.0154
1959,0.1206,-0.0265,0.0295
1960,0.0034,0.1164,0.0266
1961,0.2664,0.0206,0.0213
1962,-0.0881,0.0569,0.0273
1963,0.2261,0.0168,0.0312
1964,0.1642,0.0373,0.0354
1965,0.124,0.0072,0.0394
1966,-0.0997,0.0291,0.0477
1967,0.238,-0.0158,0.0424
1968,0.1081,0.0327,0.0524
1969,-0.0824,-0.0501,0.0659
1970,0.0356,0.1675,0.065
1971,0.1422,0.0979,0.0434
1972,0.1876,0.0282,0.0381
1973,-0.1431,0.0366,0.0691
1974,-0.259,0.0199,0.0793
1975,0.37,0.0361,0.058
1976,0.2383,0.1598,0.0508
1977,-0.0698,0.0129,0.0512
1978,0.0651,-0.0078,0.0718
1979,0.1852,0.0067,0.1038
1980,0.3174,-0.0299,0.1124
1981,-0.047,0.082,0.1471
1982,0.2042,0.3281,0.1054
1983,0.2234,0.032,0.088
1984,0.0615,0.1373,0.0985
1985,0.3124,0.2571,0.0772
1986,0.1849,0.2428,0.0616
1987,0.0581,-0.0496,0.0547
1988,0.1654,0.0822,0.0635
1989,0.3148,0.1769,0.0837
1990,-0.0306,0.0624,0.0781
1991,0.3023,0.15,0.056
1992,0.0749,0.0936,0.0351
1993,0.0997,0.1421,0.029
1994,0.0133,-0.0804,0.039
1995,0.372,0.2348,0.056
1996,0.2268,0.0143,0.0521
1997,0.331,0.0994,0.0526
1998,0.2834,0.1492,0.0486
1999,0.2089,-0.0825,0.0468
2000,-0.0903,0.1666,0.0589
2001,-0.1185,0.0557,0.0383
2002,-0.2197,0.1512,0.0165
2003,0.2836,0.0038,0.0102
2004,0.1074,0.0449,0.012
2005,0.0483,0.0287,0.0298
2006,0.1561,0.0196,0.048
2007,0.0548,0.1021,0.0466
2008,-0.3655,0.201,0.016
2009,0.2594,-0.1112,0.001
2010,0.1482,0.0846,0.0012
2011,0.021,0.1604,0.0004
2012,0.1589,0.0297,0.0006
2013,0.3215,-0.091,0.0002
2014,0.1352,0.1075,0.0002
2015,0.0136,0.0128,0.0002
2016,0.1174,0.0069,0.002
2017,0.2161,0.028,0.008
2018,-0.0423,-0.0002,0.0181
2019,0.3121,0.0964,0.0214
2020,0.1802,0.1133,0.0045
2021,0.2847,-0.0442,0.0005
2022,-0.1804,-0.1783,0.0202
2023,0.2606,0.0388,0.0493
2024,0.2502,-0.014,0.0525
